id,categories,authors_parsed,year
1404.2078,cs.LG q-bio.NC,"[['Broekens', 'Joost', ''], ['Baarslag', 'Tim', '']]",2015
1405.2406,cs.RO,"[['Sugimoto', 'Norikazu', ''], ['Tangkaratt', 'Voot', ''], ['Wensveen', 'Thijs', ''], ['Zhao', 'Tingting', ''], ['Sugiyama', 'Masashi', ''], ['Morimoto', 'Jun', '']]",2014
1405.2606,stat.ML cs.LG,"[['Joseph', 'Joshua', ''], ['Velez', 'Javier', ''], ['Roy', 'Nicholas', '']]",2014
1405.2652,cs.LG,"[['Ortner', 'Ronald', ''], ['Maillard', 'Odalric-Ambrym', ''], ['Ryabko', 'Daniil', '']]",2014
1405.5358,cs.AI cs.LG,"[['Harutyunyan', 'Anna', ''], ['Brys', 'Tim', ''], ['Vrancx', 'Peter', ''], ['Nowe', 'Ann', '']]",2014
1405.6757,cs.LG,"[['Mahadevan', 'Sridhar', ''], ['Liu', 'Bo', ''], ['Thomas', 'Philip', ''], ['Dabney', 'Will', ''], ['Giguere', 'Steve', ''], ['Jacek', 'Nicholas', ''], ['Gemp', 'Ian', ''], ['Liu', 'Ji', '']]",2014
1406.1853,stat.ML cs.LG,"[['Osband', 'Ian', ''], ['Van Roy', 'Benjamin', '']]",2014
1406.3497,cs.AI cs.LG,"[['Pirotta', 'Matteo', ''], ['Parisi', 'Simone', ''], ['Restelli', 'Marcello', '']]",2014
1406.3922,cs.LG stat.ML,"[['Soliman', 'Yousuf M.', '']]",2014
1407.1291,cs.CE cs.LG math.OC stat.AP,"[['Dimitrov', 'Stoyan', ''], ['Lguensat', 'Redouane', '']]",2014
1407.3341,cs.AI cs.LG,"[['Hutter', 'Marcus', '']]",2014
1407.5358,cs.LG cs.AI stat.ML,"[['Barreto', 'André M. S.', ''], ['Precup', 'Doina', ''], ['Pineau', 'Joelle', '']]",2014
1408.3727,cs.RO cs.LG,"[['Li', 'Kun', ''], ['Meng', 'Max Q. -H.', '']]",2015
1409.4561,cs.MA,"[['Marinescu', 'Andrei', ''], ['Dusparic', 'Ivana', ''], ['Taylor', 'Adam', ''], ['Cahill', 'Vinny', ''], ['Clarke', 'Siobhán', '']]",2014
1409.8650,cs.IT cs.MM cs.NI math.IT,"[['Thomos', 'Nikolaos', ''], ['Kurdoglu', 'Eymen', ''], ['Frossard', 'Pascal', ''], ['Van der Schaar', 'Mihaela', '']]",2016
1410.4604,cs.LG cs.AI,"[['Machado', 'Marlos C.', ''], ['Srinivasan', 'Sriram', ''], ['Bowling', 'Michael', '']]",2014
1410.8620,cs.LG cs.AI,"[['Defazio', 'Aaron', ''], ['Graepel', 'Thore', '']]",2014
1411.5548,cs.NI,"[['Simsek', 'Meryem', ''], ['Bennis', 'Mehdi', ''], ['Guvenc', 'Ismail', '']]",2014
1412.0100,cs.CV cs.LG,"[['Mathe', 'Stefan', ''], ['Sminchisescu', 'Cristian', '']]",2014
1412.6451,cs.LG cs.AI cs.RO,"[['Wernsdorfer', 'Mark', ''], ['Schmid', 'Ute', '']]",2014
1501.01209,cs.GT cs.LG cs.SI stat.ML,"[['Gharehshiran', 'Omid Namvar', ''], ['Hoiles', 'William', ''], ['Krishnamurthy', 'Vikram', '']]",2015
1502.06096,cs.NE cs.RO,"[['Evans', 'Richard', '']]",2015
1504.02125,cs.SY cs.LG,"[['Ruelens', 'Frederik', ''], ['Claessens', 'Bert', ''], ['Vandael', 'Stijn', ''], ['De Schutter', 'Bart', ''], ['Babuska', 'Robert', ''], ['Belmans', 'Ronnie', '']]",2015
1505.00322,cs.LG cs.RO,"[['Curran', 'William', ''], ['Brys', 'Tim', ''], ['Taylor', 'Matthew', ''], ['Smart', 'William', '']]",2015
1505.00521,cs.LG,"[['Zaremba', 'Wojciech', ''], ['Sutskever', 'Ilya', '']]",2016
1505.01625,cs.NI cs.LG,"[['Simsek', 'Meryem', ''], ['Bennis', 'Mehdi', ''], ['Güvenc', 'Ismail', '']]",2015
1505.04150,cs.AI cs.NE,"[['Wang', 'Zhipeng', ''], ['Cai', 'Mingbo', '']]",2015
1505.04497,cs.AI,"[['Daswani', 'Mayank', ''], ['Leike', 'Jan', '']]",2015
1505.05798,cs.LG,"[['Ammar', 'Haitham Bou', ''], ['Tutunov', 'Rasul', ''], ['Eaton', 'Eric', '']]",2015
1506.01054,cs.SY,"[['Ruelens', 'Frederik', ''], ['Iacovella', 'Sandro', ''], ['Claessens', 'Bert J.', ''], ['Belmans', 'Ronnie', '']]",2015
1506.02312,cs.AI cs.LG cs.RO cs.SY,"[['Pereira', 'Renato de Pontes', ''], ['Engel', 'Paulo Martins', '']]",2015
1506.02632,cs.LG math.OC,"[['A.', 'Prashanth L.', ''], ['Jie', 'Cheng', ''], ['Fu', 'Michael', ''], ['Marcus', 'Steve', ''], ['Szepesvári', 'Csaba', '']]",2016
1506.03379,cs.LG cs.AI,"[['Brunskill', 'Emma', ''], ['Li', 'Lihong', '']]",2015
1506.03624,cs.AI,"[['Mankowitz', 'Daniel J.', ''], ['Mann', 'Timothy A.', ''], ['Mannor', 'Shie', '']]",2015
1507.00436,cs.AI cs.LG,"[['Zhan', 'Yusen', ''], ['Taylor', 'Matthew E.', '']]",2015
1507.00814,cs.AI cs.LG stat.ML,"[['Stadie', 'Bradly C.', ''], ['Levine', 'Sergey', ''], ['Abbeel', 'Pieter', '']]",2015
1507.04296,cs.LG cs.AI cs.DC cs.NE,"[['Nair', 'Arun', ''], ['Srinivasan', 'Praveen', ''], ['Blackwell', 'Sam', ''], ['Alcicek', 'Cagdas', ''], ['Fearon', 'Rory', ''], ['De Maria', 'Alessandro', ''], ['Panneershelvam', 'Vedavyas', ''], ['Suleyman', 'Mustafa', ''], ['Beattie', 'Charles', ''], ['Petersen', 'Stig', ''], ['Legg', 'Shane', ''], ['Mnih', 'Volodymyr', ''], ['Kavukcuoglu', 'Koray', ''], ['Silver', 'David', '']]",2015
1507.04888,cs.LG,"[['Wulfmeier', 'Markus', ''], ['Ondruska', 'Peter', ''], ['Posner', 'Ingmar', '']]",2016
1507.05268,cs.AI,"[['Dalal', 'Gal', ''], ['Mannor', 'Shie', '']]",2016
1507.06527,cs.LG,"[['Hausknecht', 'Matthew', ''], ['Stone', 'Peter', '']]",2017
1507.06923,cs.LG,"[['Garlapati', 'Abhinav', ''], ['Raghunathan', 'Aditi', ''], ['Nagarajan', 'Vaishnavh', ''], ['Ravindran', 'Balaraman', '']]",2015
1508.03386,cs.LG cs.CL,"[['Su', 'Pei-Hao', ''], ['Vandyke', 'David', ''], ['Gasic', 'Milica', ''], ['Kim', 'Dongho', ''], ['Mrksic', 'Nikola', ''], ['Wen', 'Tsung-Hsien', ''], ['Young', 'Steve', '']]",2015
1508.05328,cs.MA cs.AI,"[['Zhou', 'Luowei', ''], ['Yang', 'Pei', ''], ['Chen', 'Chunlin', ''], ['Gao', 'Yang', '']]",2016
1509.01186,cs.SY,"[['Sun', 'Wei', ''], ['Theodorou', 'Evangelos', ''], ['Tsiotras', 'Panagiotis', '']]",2015
